,GENE NAME,GENE ID
758,ANO8,ENSG00000074855
759,ANO9,ENSG00000185101
760,ANO10,ENSG00000160746
761,ANOS1,ENSG00000011201
762,ANP32A,ENSG00000140350
763,ANP32B,ENSG00000136938
764,ANP32D,ENSG00000139223
765,ANP32E,ENSG00000143401
766,ANPEP,ENSG00000166825
767,ANTKMT,ENSG00000103254
768,ANTXR1,ENSG00000169604
769,ANTXR2,ENSG00000163297
770,ANTXRL,ENSG00000274209
771,ANXA1,ENSG00000135046
772,ANXA2,ENSG00000182718
773,ANXA2R,ENSG00000177721
774,ANXA3,ENSG00000138772
775,ANXA4,ENSG00000196975
776,ANXA5,ENSG00000164111
777,ANXA6,ENSG00000197043
778,ANXA7,ENSG00000138279
779,ANXA8,ENSG00000265190
780,ANXA8L1,ENSG00000264230
781,ANXA9,ENSG00000143412
782,ANXA10,ENSG00000109511
783,ANXA11,ENSG00000122359
784,ANXA13,ENSG00000104537
785,AOAH,ENSG00000136250
786,AOC1,ENSG00000002726
787,AOC2,ENSG00000131480
788,AOC3,ENSG00000131471
789,AOPEP,ENSG00000148120
790,AOX1,ENSG00000138356
791,AP1AR,ENSG00000138660
792,AP1B1,ENSG00000100280
793,AP1G1,ENSG00000166747
794,AP1G2,ENSG00000213983
795,AP1M1,ENSG00000072958
796,AP1M2,ENSG00000129354
797,AP1S1,ENSG00000106367
798,AP1S2,ENSG00000182287
799,AP1S3,ENSG00000152056
800,AP2A1,ENSG00000196961
801,AP2A2,ENSG00000183020
802,AP2B1,ENSG00000006125
803,AP2M1,ENSG00000161203
804,AP2S1,ENSG00000042753
805,AP3B1,ENSG00000132842
806,AP3B2,ENSG00000103723
807,AP3D1,ENSG00000065000
808,AP3M1,ENSG00000185009
