,GENE NAME,GENE ID
15985,STX3,ENSG00000166900
15986,STX4,ENSG00000103496
15987,STX5,ENSG00000162236
15988,STX6,ENSG00000135823
15989,STX7,ENSG00000079950
15990,STX8,ENSG00000170310
15991,STX10,ENSG00000104915
15992,STX11,ENSG00000135604
15993,STX12,ENSG00000117758
15994,STX16,ENSG00000124222
15995,STX17,ENSG00000136874
15996,STX18,ENSG00000168818
15997,STX19,ENSG00000178750
15998,STXBP1,ENSG00000136854
15999,STXBP2,ENSG00000076944
16000,STXBP3,ENSG00000116266
16001,STXBP4,ENSG00000166263
16002,STXBP5,ENSG00000164506
16003,STXBP5L,ENSG00000145087
16004,STXBP6,ENSG00000168952
16005,STYK1,ENSG00000060140
16006,STYX,ENSG00000198252
16007,STYXL1,ENSG00000127952
16008,STYXL2,ENSG00000198842
16009,SUB1,ENSG00000113387
16010,SUCLA2,ENSG00000136143
16011,SUCLG1,ENSG00000163541
16012,SUCLG2,ENSG00000172340
16013,SUCNR1,ENSG00000198829
16014,SUCO,ENSG00000094975
16015,SUDS3,ENSG00000111707
16016,SUFU,ENSG00000107882
16017,SUGCT,ENSG00000175600
16018,SUGP1,ENSG00000105705
16019,SUGP2,ENSG00000064607
16020,SUGT1,ENSG00000165416
16021,SULF1,ENSG00000137573
16022,SULF2,ENSG00000196562
16023,SULT1A1,ENSG00000196502
16024,SULT1A2,ENSG00000197165
16025,SULT1A3,ENSG00000261052
16026,SULT1A4,ENSG00000213648
16027,SULT1B1,ENSG00000173597
16028,SULT1C2,ENSG00000198203
16029,SULT1C3,ENSG00000196228
16030,SULT1C4,ENSG00000198075
16031,SULT1E1,ENSG00000109193
16032,SULT2A1,ENSG00000105398
16033,SULT2B1,ENSG00000088002
16034,SULT4A1,ENSG00000130540
16035,SULT6B1,ENSG00000138068
16036,SUMF1,ENSG00000144455
16037,SUMF2,ENSG00000129103
16038,SUMO1,ENSG00000116030
16039,SUMO2,ENSG00000188612
16040,SUMO3,ENSG00000184900
16041,SUMO4,ENSG00000177688
16042,SUN1,ENSG00000164828
16043,SUN2,ENSG00000100242
16044,SUN3,ENSG00000164744
16045,SUN5,ENSG00000167098
16046,SUOX,ENSG00000139531
16047,SUPT3H,ENSG00000196284
16048,SUPT4H1,ENSG00000213246
16049,SUPT5H,ENSG00000196235
16050,SUPT6H,ENSG00000109111
16051,SUPT7L,ENSG00000119760
16052,SUPT16H,ENSG00000092201
16053,SUPT20H,ENSG00000102710
16054,SUPT20HL1,ENSG00000223731
16055,SUPT20HL2,ENSG00000223611
16056,SUPV3L1,ENSG00000156502
16057,SURF1,ENSG00000148290
16058,SURF2,ENSG00000148291
16059,SURF4,ENSG00000148248
16060,SURF6,ENSG00000148296
16061,SUSD1,ENSG00000106868
16062,SUSD2,ENSG00000099994
16063,SUSD3,ENSG00000157303
16064,SUSD4,ENSG00000143502
16065,SUSD5,ENSG00000173705
16066,SUSD6,ENSG00000100647
16067,SUV39H1,ENSG00000101945
16068,SUV39H2,ENSG00000152455
16069,SUZ12,ENSG00000178691
16070,SV2A,ENSG00000159164
16071,SV2B,ENSG00000185518
16072,SV2C,ENSG00000122012
16073,SVBP,ENSG00000177868
16074,SVEP1,ENSG00000165124
16075,SVIL,ENSG00000197321
16076,SVIP,ENSG00000198168
16077,SVOP,ENSG00000166111
16078,SVOPL,ENSG00000157703
16079,SWAP70,ENSG00000133789
16080,SWI5,ENSG00000175854
16081,SWSAP1,ENSG00000173928
16082,SWT1,ENSG00000116668
16083,SYAP1,ENSG00000169895
16084,SYBU,ENSG00000147642
16085,SYCE1,ENSG00000171772
16086,SYCE1L,ENSG00000205078
16087,SYCE2,ENSG00000161860
16088,SYCE3,ENSG00000217442
16089,SYCN,ENSG00000179751
16090,SYCP1,ENSG00000198765
16091,SYCP2,ENSG00000196074
16092,SYCP2L,ENSG00000153157
16093,SYCP3,ENSG00000139351
16094,SYDE1,ENSG00000105137
16095,SYDE2,ENSG00000097096
16096,SYF2,ENSG00000117614
16097,SYK,ENSG00000165025
16098,SYMPK,ENSG00000125755
16099,SYN1,ENSG00000008056
16100,SYN2,ENSG00000157152
16101,SYN3,ENSG00000185666
16102,SYNC,ENSG00000162520
16103,SYNCRIP,ENSG00000135316
16104,SYNDIG1,ENSG00000101463
16105,SYNDIG1L,ENSG00000183379
16106,SYNE1,ENSG00000131018
16107,SYNE2,ENSG00000054654
16108,SYNE3,ENSG00000176438
16109,SYNE4,ENSG00000181392
16110,SYNGAP1,ENSG00000197283
16111,SYNGR1,ENSG00000100321
16112,SYNGR2,ENSG00000108639
16113,SYNGR3,ENSG00000127561
16114,SYNGR4,ENSG00000105467
16115,SYNJ1,ENSG00000159082
16116,SYNJ2,ENSG00000078269
16117,SYNJ2BP,ENSG00000213463
16118,SYNM,ENSG00000182253
16119,SYNPO,ENSG00000171992
16120,SYNPO2,ENSG00000172403
16121,SYNPO2L,ENSG00000166317
